id;target;source
14358;Tengo tiempo libre este tarde.;I am free this afternoon.
14359;¿Tienes tiempo libre mañana a esta misma hora?;What will you be doing at this time tomorrow?
14360;Ella está en el hotel ahora.;She's at the hotel now.
14361;Tom no está en el hotel.;Tom isn't at the hotel.
14362;¿Por qué a Tom no le gusta este hotel?;Why doesn't Tom like this hotel?
14363;Estaban juntos.;They were together.
14364;Tom tiene una habitación en el hotel de al lado del río.;Tom has a room at the hotel near the river.
14365;Tom y yo vamos juntos a nadar tres veces a la semana.;Tom and I swim together three times a week.
14366;Usted está libre mañana.;You are free tomorrow.
14367;¿Qué hace Tom en su tiempo libre?;What does Tom do in his free time?
14368;¿Estás libre mañana por la tarde?;Are you free tomorrow afternoon?
14369;Este es el hotel más grande en la ciudad.;This is the biggest hotel in this city.
14370;Tenemos que trabajar juntos.;We need to work together.
14371;¿A qué hora se fue del hotel?;What time did she check out of the hotel?
14372;Estamos juntos hace un año.;We have been together for a year.
14373;Tom y Mary fueron juntos.;Tom and Mary went together.
14374;¿Dónde está el hotel?;Where is the hotel?
14375;¿Ella se queda en un hotel?;Is she staying at a hotel?
14376;Hoy estoy libre.;I'm free today.
14377;Podemos ir juntos.;We can go together.
14378;Tom llegó al hotel.;Tom arrived at the hotel.
14379;Este es el hotel más grande en esta ciudad.;This is the biggest hotel in this city.
14380;A ellos les gusta jugar juntos.;They enjoy playing together.
14381;Esto es un hotel.;This is a hotel.
14382;¿Este es nuestro hotel?;Is this our hotel?
14383;¿Cuál es el mejor hotel en la ciudad?;Which is the best hotel in the town?
14384;Siento que soy libre.;I feel that I am free.
14385;¿Qué es lo que más te gusta hacer en tu tiempo libre?;What's your favorite thing to do in your free time?
14386;Tengo que ser libre.;I've got to be free.
14387;Eres libre.;You're free.
14388;¿Está libre?;Are you free?
14389;¿Estás libre ahora?;Are you free now?
14390;Yo soy libre.;I'm free.
14391;Por aquí había un hotel.;There used to be a hotel around here.
14392;¿Estamos en el mismo hotel?;Are we in the same hotel?
14393;Estoy en el hotel.;I'm at the hotel.
14394;El camino está libre.;The road is free.
14395;Soy un hombre libre.;I'm a free man.
14396;Tengo algunas cosas en la caja fuerte del hotel.;I have a few things in the hotel's safe.
14397;¿Tienes libre mañana?;Are you free tomorrow?
14398;¿Vamos juntos?;Shall we go together?
14399;¿Tiene mucho tiempo libre?;Do you have much time to spare?
14400;Ahora tengo un poco de tiempo libre.;I have some free time right now.
14401;Tom no tiene mucho tiempo libre.;Tom doesn't have much free time.
14402;Voy camino al hotel.;I'm coming to the hotel.
14403;¿Es un buen hotel? "Sí, pero está demasiado lejos.";Is it a good hotel? "Yes, but it is too far."
14404;Ahora estoy libre.;I'm free now.
14405;Ahora soy libre.;I'm free now.
14406;Lo único que importa es que estamos todos juntos.;The only thing that matters is that we are all together.
14407;Lo más importante es que estamos todos juntos.;The only thing that matters is that we are all together.
14408;¿Tiene usted una habitación libre?;Do you have a vacancy?
14409;¿Estás libre esta tarde?;Are you free this afternoon?
14410;Este es el hotel.;This is a hotel.
14411;Por cierto, ¿estás libre esta tarde?;By the way, are you free this afternoon?
14412;Tú y yo vamos juntos.;You and I are going together.
14413;No está lejos del hotel.;It is not far away from the hotel.
14414;¿A qué hora debo dejar el hotel?;What time should I leave the hotel?
14415;¿Por qué no te tomás el día libre?;Why don't you take the day off?
14416;Lo importante es que estamos juntos.;The important thing is that we're together.
14417;Este es el hotel más grande de la ciudad.;This is the biggest hotel in this city.
14418;Hay un hotel al otro lado de la calle.;There's a hotel across the street.
14419;¿Cómo puedo llegar al hotel?;How can I reach the hotel?
14420;Mi trabajo es fácil y tengo mucho tiempo libre.;My job is easy and I have a lot of free time.
14421;Estoy libre esta tarde.;I am free this afternoon.
14422;¿Cómo estuvo tu día libre?;How was your holiday?
14423;No estoy libre.;I'm not free.
14424;¡Soy libre!;I'm free!
14425;Vamos a tener que trabajar juntos.;We're going to have to work together.
14426;¿Estás libre esta noche?;Are you free tonight?
14427;Mañana será libre.;He will be free tomorrow.
14428;La estación está cerca del hotel.;The station is near the hotel.
14429;Estás libre de ir a tu casa.;You are free to go home.
14430;Quiero saber si vas a estar libre mañana.;I want to know if you will be free tomorrow.
14431;Mañana va a ser libre.;He will be free tomorrow.
14432;Mañana es mi día libre.;Tomorrow is my day off.
14433;Nosotros vamos juntos en la escuela.;We are at school together.
14434;Tom tiene poco tiempo libre.;Tom has limited free time.
14435;Quiero ir a un hotel.;I want to go to a hotel.
14436;Aquí hay un hotel.;There's a hotel here.
14437;Pensé que era tu día libre.;I thought it was your day off.
14438;Es un hotel.;This is a hotel.
14439;¿Estás libre al salir de clase?;Are you free after school?
14440;Ella siempre está libre en la tarde.;She is always free in the afternoon.
14441;Solo quiero ser libre.;I just want to be free.
14442;Quiero ser libre.;I want to be free.
14443;¿Estás libre este fin de semana?;Are you free this weekend?
14444;Mañana en la tarde estoy libre.;I will be free tomorrow afternoon.
14445;¿Estás libre?;Are you free?
14446;Ellos siempre están juntos.;They're always together.
14447;El hotel está ahí.;The hotel is down there.
14448;Estaba buscando un hotel cuando te vi.;I was looking for a hotel, when I saw you.
14449;¿Qué vas a hacer en tu noche libre?;What are you doing on your night off?
14450;Hoy no tengo ningún tiempo libre.;I don't have any free time today.
14451;Él está libre hoy.;He is off today.
14452;¿Por cuánto han estado juntos?;How long have you two been together?
14453;Le espero a usted mañana en el hotel.;I'll wait for you in the hotel tomorrow.
14454;La comida es muy buena en este hotel.;The food in this hotel is very good.
14455;No está muy lejos del hotel.;It is not far away from the hotel.
14456;Tom tiene mucho tiempo libre.;Tom has a lot of free time.
14457;Ahora está en el hotel.;She's at the hotel now.
14458;Eso es un hotel.;That is a hotel.
14459;Ese es el hotel.;That's the hotel.
14460;¿Qué te gusta hacer en tu tiempo libre?;What do you like to do in your free time?
14461;Es el hotel más grande de la ciudad.;This is the biggest hotel in this city.
14462;Ese hotel está muy cerca de la estación de tren.;That hotel is very close to the train station.
14463;Vamos a ir juntos.;We'll go together.
14464;Él ya no puede esperar más.;He can no longer wait.
14465;Él falta a clase a menudo.;He is often absent from school.
14466;Me gusta el té.;I like tea.
14467;Creo que deberías esperar.;I think you should wait.
14468;¿Qué tal un té?;Won't you have some tea?
14469;A veces falta a la escuela.;He is sometimes absent from school.
14470;¿Puedo tomar más té si es que queda algo?;May I have some more tea if there is any in the pot?
14471;¿Te hice esperar?;Have I kept you waiting?
14472;¿Qué te gusta más: el té o el café?;Which do you like better, tea or coffee?
14473;No puedo esperar a ser padre.;I can't wait to be a father.
14474;¿Puede esperar esto?;Can this wait?
14475;¿Quieres un té o un café?;Would you like some tea or some coffee?
14476;¿Le gustaría un poco más de té?;Would you like some more tea?
14477;¿Esto puede esperar?;Can this wait?
14478;No sé qué esperar.;I don't know what to expect.
14479;¿Te hice esperar mucho?;Did I keep you waiting long?
14480;Solo podemos esperar.;All we can do is wait.
14481;Tom dijo que no podía esperar más.;Tom said he couldn't wait any longer.
14482;Todo lo que debes hacer es esperar su respuesta.;All that you have to do is to wait for his reply.
14483;No hace falta venir mañana.;It's not necessary to come tomorrow.
14484;No puedo esperar más.;I can't wait any more.
14485;Ella me hizo esperar más de una hora.;She kept me waiting for over an hour.
14486;¿Te he hecho esperar mucho?;Have I kept you waiting long?
14487;El trabajo puede esperar.;The work can wait.
14488;Todo lo que podemos hacer ahora es esperar.;All we can do now is wait.
14489;No deberías hacer esperar a la gente.;You should not keep people waiting.
14490;Vamos a tomar un té en algún lugar por allí.;Let's have a tea break somewhere around there.
14491;Ella tenía un dolor de cabeza por la falta de sueño.;She had a headache from lack of sleep.
14492;Falta algo.;Something's missing.
14493;No falta nada.;Nothing is missing.
14494;¿Esto no puede esperar a mañana?;Can't this wait until tomorrow?
14495;¿Me podría dar algo de té?;Could I get some tea?
14496;Me han hecho esperar mucho.;They made me wait for a long time.
14497;¡No puedo esperar por el fin de semana!;I can't wait until the weekend!
14498;Yo sé lo que hace falta.;I know what's missing.
14499;¿Puedes esperar más o menos una hora?;Can you wait about an hour?
14500;¿Puede esperar más o menos una hora?;Can you wait about an hour?
14501;¿Ella tiene lo que hace falta?;Does she have what it takes?
14502;¿Él tiene lo que hace falta?;Does he have what it takes?
14503;¿Tom tiene lo que hace falta?;Does Tom have what it takes?
14504;Tom no debería esperar a Mary por más de diez minutos.;Tom shouldn't wait for Mary for more than ten minutes.
14505;Tom no podía esperar más.;Tom might not wait any longer.
14506;Falta a la escuela a menudo.;He often doesn't come to school.
14507;Tom tiene que esperar a Mary.;Tom has to wait for Mary.
14508;Esto sabe como a té.;This tastes like tea.
14509;¿Nos falta alguna otra cosa?;Are we missing anything else?
14510;Tom tiene que esperar tres horas más.;Tom has to wait another three hours.
14511;No tenemos tiempo para esperar.;We don't have time to wait.
14512;Falta el punto.;The period is missing.
14513;Tom tuvo que esperar a Mary más o menos por tres horas.;Tom had to wait for Mary for about three hours.
14514;Tom dijo que podía esperar aquí.;Tom said I could wait here.
14515;¿Qué falta?;What is missing?
14516;¿No quieres tomar un poco de té?;Wouldn't you like to drink some tea?
14517;Tom me dijo que no podía esperar por salir de ahí.;Tom told me he couldn't wait to get out of there.
14518;No falta nadie.;There's no one missing.
14519;¿Puedes esperar un poco más?;Can you hold on a little longer?
14520;¿Te gustaría un poco más de té?;Would you like some more tea?
14521;No voy a esperar para siempre.;I will not wait forever.
14522;Falta Tomás.;Tom is missing.
14523;Debes esperar.;You must wait.
14524;¿Puedes esperar aquí?;Can you wait right here?
14525;Tom no sabe qué esperar.;Tom doesn't know what to expect.
14526;¿Hace falta tener un dios?;Is it necessary to have a god?
14527;Todo lo que tienes que hacer es esperar.;All you have to do is to wait.
14528;¿Podría yo tomar más té?;Could I drink some more tea?
14529;Por falta de dinero ella no pudo venir conmigo.;Her lack of money kept her from going with me.
14530;Ya no puedo esperar.;I can't wait anymore.
14531;¿Te gusta el té o el café?;Do you like tea or coffee?
14532;No quiero tomar té frío.;I don't want to drink cold tea.
14533;Este es un muy buen té.;This is a very good tea.
14534;No nos queda té.;We've run out of tea.
14535;No se puede esperar mucho de él.;You cannot expect much of him.
14536;¿Café o té?;Coffee or tea?
14537;El problema es que nos falta dinero.;The trouble is that we are short of money.
14538;Me gusta más el café que el té.;I like coffee better than tea.
14539;Me gusta más el té que el café.;I like the tea more than the coffee.
14540;Tuve que esperar más de tres horas.;I had to wait more than three hours.
14541;Tom dice que no puede esperar más.;Tom says he can't wait any longer.
14542;Le gusta el té.;He likes tea.
14543;Yo voy a esperar por usted.;I'm going to wait for you.
14544;Le falta dinero.;He needs money.
14545;Sólo puedo esperar.;I can only wait.
14546;¿Te gustaría esperar en el cuarto?;Would you like to wait in the room?
14547;¿Cuánto debes esperar?;How long will you have to wait?
14548;No quiero esperar tanto tiempo.;I don't want to wait that long.
14549;No puedo esperar más tiempo.;I can't wait any longer.
14550;¿Le he hecho esperar mucho?;Have I kept you waiting long?
14551;Ahora no me hace falta dinero.;I do not need money now.
14552;No puedes esperar más que eso.;You can't expect more than that.
14553;Este té es muy bueno.;This is a very good tea.
14554;¿Quiere café o té?;Would you like coffee or tea?
14555;¿Dónde te voy a esperar?;Where shall I wait for you?
14556;¿Dónde te tengo que esperar?;Where shall I wait for you?
14557;Me hace falta dinero.;I'm in need of money.
14558;No te quiere esperar.;He doesn't want to wait for you.
14559;Sólo tenemos té.;We only have tea.
14560;Estoy cansado por falta de sueño.;I'm tired from lack of sleep.
14561;Lo único por hacer es no hacer nada. Esperar.;The one thing to do is to do nothing. Wait.
14562;Tom no tiene té.;Tom doesn't have tea.
14563;Lo único que puedes hacer es esperar.;All you can do is wait.
14564;No nos falta nada.;We lack nothing.
14565;No nos falta de nada.;We lack nothing.
14566;¿Cuál te gusta mejor, té o café?;Which do you like better, tea or coffee?
14567;Debo esperar aquí.;I must wait here.
14568;Me gustaría tomar té en lugar de café.;I'd rather have tea instead of coffee.
14569;No me importa esperar.;I don't mind waiting.
14570;Este té está bueno.;This tea tastes good.
14571;¿Te he hecho esperar?;Have I kept you waiting?
14572;A Tom le gusta más el té que el café.;Tom likes tea better than coffee.
14573;Un té, por favor.;Tea, please.
14574;No hace falta ir.;You don't need to go.
14575;Todo lo que puedo hacer por el momento es esperar.;All I can do at the moment is wait.
14576;¡Vamos a la casa de té!;Let's go to the teahouse!
14577;No quiero esperar tanto.;I don't want to wait that long.
14578;Tom no puede esperar.;Tom can't wait.
14579;No puedo esperar hasta mañana.;I can't wait until tomorrow.
14580;Ella estaba haciendo té.;She was making tea.
14581;No puedo esperar otra semana.;I can't wait another week.
14582;¿Dónde está mi té?;Where's my tea?
14583;Tom viene aquí todos los días sin falta.;Tom comes here every single day.
14584;No puedo esperar para siempre.;I can't wait forever.
14585;¿Puedes esperar un momento?;Can you wait a bit?
14586;No me gustan ni el té ni el café.;I don't like either tea or coffee.
14587;Tienes lo que hace falta para hacer bien este trabajo.;You've got what it takes to do well in this job.
14588;¿Le gusta el té?;Do you like tea?
14589;¿Te gusta el té?;Do you like tea?
14590;¿A tu amigo le gusta el té?;Does your friend like tea?
14591;A él le gusta el té.;He likes tea.
14592;Todo lo que puedes hacer es esperar.;All you can do is to wait.
14593;No quiero esperar.;I don't want to wait.
14594;¡Vamos! No puedo esperar más.;Come on! I can't wait any more.
14595;¿Quieres tomar té o café?;Do you want to drink tea or coffee?
14596;Ya no lo puedo esperar más.;I can wait for him no longer.
14597;No quiero té.;I don't want tea.
14598;No puedo esperar todo el día.;I can't wait all day.
14599;No podemos esperar a Tom.;We can't wait for Tom.
14600;¿Podrías esperar aquí un momento?;Could you wait here for the moment.
14601;Ya no puedo esperar más.;I can't wait any more.
14602;No quiero esperar hasta mañana.;I don't want to wait until tomorrow.
14603;A mí me gusta más el café que el té.;Me, I prefer coffee to tea.
14604;No debes esperar aquí.;You'd better not wait here.
14605;A su familia no le falta nada.;His family lacks for nothing.
14606;¿De verdad quieres esperar dos horas?;Do you really want to wait for two hours?
14607;¿De verdad quieres esperar a Tom?;Do you really want to wait for Tom?
14608;No tenemos té.;We don't have tea.
14609;Puedes esperar aquí.;You can wait here.
14610;A las mujeres les gusta el té.;The women like tea.
14611;¿Usted quiere esperar?;Would you like to wait?
14612;No puedo esperar para ir un día.;I can't wait to go one day.
14613;¿Cuánto tengo que esperar?;How long do I have to wait?
14614;¿Por cuánto tengo que esperar?;How long do I have to wait?
14615;Hace falta dinero.;Money is needed.
14616;¿Te hace falta mucho dinero?;Do you need much money?
14617;¿Tienes lo que hace falta?;You got skills?
14618;Tom no debería haber hecho esperar tanto a Mary.;Tom shouldn't have kept Mary waiting so long.
14619;El café me gusta mucho más que el té.;I like coffee much more than tea.
14620;Voy a esperar.;I'm going to wait.
14621;No podemos esperar.;We can't attend.
14622;Se le da muy bien pero le falta clase.;She's pretty good at it, but she lacks class.
14623;Tom no quiere esperar tanto.;Tom doesn't want to wait that long.
14624;Mi falta.;My mistake.
14625;Ve a esperar en el auto.;Go wait in the car.
14626;Esto es una niña.;This is a girl.
14627;Yo juego al tenis de vez en cuando.;I play tennis once in a while.
14628;Ella va a tener un bebé este mes.;She is going to have a baby this month.
14629;Tom tiene una hermana a la que le gusta jugar al tenis.;Tom has a sister who likes to play tennis.
14630;Eso es porque eres niña.;That's because you're a girl.
14631;El niño habla como si fuera una niña.;The boy talks as if he were a girl.
14632;Tom puede jugar muy bien tenis.;Tom can play tennis very well.
14633;Tom puede jugar tenis bastante bien.;Tom can play tennis quite well.
14634;¿Dónde está tu bebé?;Where's your baby?
14635;¿Y tu bebé?;Where's your baby?
14636;La niña no sabe cómo hacerlo.;The girl doesn't know how to do it.
14637;La mujer de Tom dio a luz a una niña ayer.;Tom's wife had a baby girl yesterday.
14638;Juego tenis una hora al día.;I play tennis an hour a day.
14639;Mi bebé quiere hablar.;My baby wants to talk.
14640;Vamos a jugar tenis esta semana.;We are playing tennis this weekend.
14641;Tom se hizo bueno para el tenis.;Tom got good at tennis.
14642;Sé jugar al tenis.;I can play tennis.
14643;Ella solía jugar al tenis con él.;She used to play tennis with him.
14644;Mi hermano es bueno para jugar tenis.;My brother is good at playing tennis.
14645;Soy bueno para el tenis.;I'm good at tennis.
14646;Lo conozco desde que era un bebé.;I have known him since he was a baby.
14647;La niña quiere saber la verdad.;The girl wants to know the truth.
14648;Yo he visto a esa niña antes.;I've met that girl before.
14649;La niña se parece a su madre.;The girl resembles her mother.
14650;No juego al tenis tan bien como Tom.;I can't play tennis as well as Tom.
14651;Me gusta jugar al tenis.;I like to play tennis.
14652;A ella le gusta jugar al tenis.;She is fond of playing tennis.
14653;Hay una niña de Estados Unidos en nuestra clase.;A girl from America is in our class.
14654;Mary va a tener un bebé.;Mary is going to have a baby.
14655;Ella es buena para jugar tenis.;She is good at playing tennis.
14656;Ella es una niña después de todo.;She is a child after all.
14657;Tom no pudo encontrar a nadie con quien jugar tenis.;Tom couldn't find anyone to play tennis with.
14658;Me gustaría jugar al tenis con ustedes algún día.;I'd like to play tennis with you some day.
14659;Me gustaría jugar al tenis con usted algún día.;I'd like to play tennis with you some day.
14660;Él sabe jugar tenis.;He can play tennis.
14661;Ella es de verdad una niña buena gente.;She is really a nice girl.
14662;Ella es en verdad una niña buena.;She is really a good girl.
14663;Ella es una muy buena niña.;She is a really good girl.
14664;No, pero juego al tenis.;No, but I play tennis.
14665;Ese bebé se parece a su madre.;The baby takes after his mother.
14666;Tom parece una niña.;Tom looks like a girl.
14667;Quiero jugar tenis contigo algún día.;I want to play tennis with you someday.
14668;Ella sabe jugar a tenis, y yo también.;She can play tennis, and so can I.
14669;La conozco desde que ella era un bebé.;I have known her since she was a baby.
14670;¡Ya no soy un bebé!;I'm not a baby anymore!
14671;Aún es una niña.;She is still a girl.
14672;No puedo jugar tenis muy bien.;I can't play tennis very well.
14673;Su hija ya no es una niña.;Your daughter is not a child any more.
14674;El nombre del bebé era Tomás.;The baby's name was Tom.
14675;Esta niña no tiene madre.;This girl has no mother.
14676;Me gusta el tenis.;I like tennis.
14677;Mary es una buena niña.;Mary is a good girl.
14678;Vi a Tom jugar al tenis.;I saw Tom play tennis.
14679;Sólo es una niña.;She is no more than a child.
14680;¿Eres bueno al tenis?;Are you good at tennis?
14681;¿Este bebé es chico o chica?;Is this baby a he or a she?
14682;El otro día vi a esa niña.;The other day I saw the girl.
14683;El bebé necesita a su madre.;The baby needs its mother.
14684;Esa niña se ha hecho una mujer.;That girl has become a woman.
14685;No estoy seguro si es un niño o una niña.;I'm not sure if it's a boy or a girl.
14686;A él no le gusta el tenis.;He does not like tennis.
14687;A mi padre le gusta el tenis.;My father likes tennis.
14688;Ella va a tener un bebé.;She is going to have a baby.
14689;¿Le gusta el tenis?;Do you like tennis?
14690;Vamos a tener un bebé.;We are going to have a baby.
14691;Él es el bebé de la familia.;He is the baby of the family.
14692;Quisiera dejar a esta niña contigo.;I would like to leave this girl with you.
14693;Voy a jugar al tenis.;I am going to play tennis.
14694;Vio a la niña.;He saw the girl.
14695;A veces juego al tenis con ella.;I sometimes play tennis with her.
14696;Me gustaría jugar al tenis.;I'd like to play tennis.
14697;Ya no eres ningún bebé.;You are no longer a baby.
14698;Ella no es una niña.;She's not a child.
14699;¿Te gusta el tenis?;Do you like tennis?
14700;A ella se le da bien jugar al tenis.;She's good at tennis.
14701;Ella no es niña.;She's not a child.
14702;Ella dio a luz a una niña ayer.;She gave birth to a daughter yesterday.
14703;¿Por qué no puede jugar hoy al tenis?;Why can't he play tennis today?
14704;¿Es niño o niña?;Is it a boy or a girl?
14705;Solía jugar al tenis con él a menudo.;I would often play tennis with him.
14706;Ella vino a Japón cuando era una niña.;She came to Japan as a child.
14707;Tom no sabe jugar al tenis.;Tom can't play tennis.
14708;Juego al tenis.;I play tennis.
14709;Voy a tener un bebé.;I'm going to have a baby.
14710;Voy a jugar tenis.;I am going to play tennis.
14711;No es una niña.;She's not a child.
14712;Esta niña viene de Japón.;This girl comes from Japan.
14713;Solía jugar al tenis.;I used to play tennis.
14714;¿Tú crees que soy muy viejo para tener otro bebé?;Do you think I'm too old to have another baby?
14715;Jugar tenis es fácil.;It is easy to play tennis.
14716;Yo juego tenis después del colegio.;I play tennis after school.
14717;María es una niña buena.;Mary is a good girl.
14718;Para mí es fácil jugar tenis.;Playing tennis is easy for me.
14719;Esa niña no tiene madre.;The girl has no mother.
14720;La niña ve al niño.;The girl sees the boy.
14721;Juego al tenis todos los días.;I play tennis every day.
14722;Ese bebé es Tom.;That baby is Tom.
14723;Esa es la niña a quien conozco bien.;That is the girl whom I know well.
14724;El bebé se llama Tom.;The baby is called Tom.
14725;El bebé tiene un día.;The baby is one day old.
14726;Ella es sólo una niña.;She's but a child.
14727;No juego al tenis después del colegio.;I don't play tennis after school.
14728;A la mujer le gusta jugar al tenis.;The woman likes to play tennis.
14729;Vamos a jugar tenis esta tarde.;Let's play tennis this afternoon.
14730;Tom sí que puede jugar tenis.;Tom sure can play tennis.
14731;La mujer dio a luz a una niña.;The woman gave birth to a baby girl.
14732;Nuestro bebé aún no habla.;Our baby cannot talk yet.
14733;Esta niña es de Japón.;This girl is from Japan.
14734;Tiene dos niños y una niña.;He has two boys and a girl.
14735;Conozco a esta niña.;I know the girl.
14736;Conozco a una niña que habla bien inglés.;I know a girl who speaks English well.
14737;Ella no es más que una niña.;She is nothing but a child.
14738;Le gusta jugar al tenis.;He enjoys playing tennis.
14739;La niña es chica para su edad.;The girl is small for her age.
14740;Es mi bebé.;That's my doll.
14741;Me gusta mucho el tenis.;I like tennis very much.
14742;¿Quieres jugar al tenis con nosotros?;Do you want to play tennis with us?
14743;No juego tanto al tenis como antes.;I do not play tennis as much as I used to.
14744;¡Vamos a tener un bebé!;We're going to have a baby!
14745;Yo juego tenis.;I play tennis.
14746;Tom es un tipo interesante.;Tom is an interesting guy.
14747;Creo que Tom está muy enfermo.;I think Tom is very sick.
14748;Eres demasiado pequeño.;You're too little.
14749;Parece interesante.;It seems interesting.
14750;Él era pequeño, pero fuerte.;He was small, but strong.
14751;Él me dijo que el libro era interesante.;He told me that the book was interesting.
14752;Creo que es interesante.;I think it's interesting.
14753;María me preguntó: "¿estás enfermo?";Mary said to me, "are you ill?"
14754;Tom estaba enfermo.;Tom was sick.
14755;¡Qué libro tan interesante!;What an interesting book!
14756;Su libro es muy interesante.;Her book is very interesting.
14757;Este libro es muy interesante.;This book is very interesting.
14758;Eres una chica interesante.;You're an interesting girl.
14759;Tom es tres años más pequeño que tú, ¿verdad?;Tom is three years younger than you, right?
14760;Él tiene un libro interesante.;He has an interesting book.
14761;Fue un sueño interesante.;It was an interesting dream.
14762;El francés es una lengua muy interesante.;French is a very interesting language.
14763;Hablar inglés no es fácil, pero es interesante.;Speaking English isn't easy, but interesting.
14764;El inglés no es fácil, pero es interesante.;English is not easy, but it is interesting.
14765;Este es un libro muy pequeño.;This is a very small book.
14766;Tom dijo que estaba enfermo.;Tom said he was sick.
14767;¡Cuidado!;Watch out!
14768;Parece muy interesante.;It seems very interesting.
14769;Creo que Tom está enfermo.;I think Tom is sick.
14770;No puede venir, está enfermo.;He cannot come, he is ill.
14771;¡Estás enfermo!;You're sick!
14772;Él fue cuidado por un doctor joven.;He was taken care of by a young doctor.
14773;El cuarto de Tom era muy pequeño.;Tom's room was very small.
14774;La conozco desde pequeño.;I've known her since I was little.
14775;Hablar en inglés no es fácil, pero es interesante.;To speak English is not easy, but it is interesting.
14776;Soy un hombre que siempre está enfermo.;I am a man that is always sick.
14777;Él se había cuidado.;He had taken care of himself.
14778;Tom aún es un niño pequeño.;Tom is still a small boy.
14779;Interesante...;Interesting.
14780;Este libro es el más pequeño de todos.;This book is the smallest of all the books.
14781;Ayer estaba demasiado enfermo para ir a la escuela.;I was too sick to go to school yesterday.
14782;El libro es pequeño.;The book is small.
14783;¡Cuidado con la cabeza!;Watch your head!
14784;Tom me dijo que estaba enfermo.;Tom told me that he was sick.
14785;¿Quién te dijo que Tom estaba enfermo?;Who told you Tom was sick?
14786;Tom debe estar enfermo.;Tom must be sick.
14787;Él estaba muy viejo y enfermo.;He was very old and ill.
14788;Leer un libro es interesante.;Reading a book is interesting.
14789;Cuidado con dormir demasiado.;Take care not to oversleep.
14790;Es interesante.;It's interesting.
14791;Su plan me parece interesante.;Their plan sounds interesting to me.
14792;Nuestro mundo se está haciendo cada vez más pequeño.;Our world is getting smaller and smaller.
14793;Esta bicicleta es de mi hermano pequeño.;This bike belongs to my younger brother.
14794;Este libro fue muy interesante.;This book was very interesting.
14795;Mi padre no ha estado nunca enfermo.;My father has never gotten sick in his life.
14796;Su historia fue interesante.;His story was interesting.
14797;Ellos son gente interesante.;They're interesting people.
14798;Yo pienso que deberías tener cuidado.;I think you should be careful.
14799;Llegó a Japón de pequeño.;He came to Japan when he was a child.
14800;Yo tuve un perro pequeño cuando era joven.;I had a small dog when I was young.
14801;Debo tener mucho cuidado, Tom.;I've got to be very careful, Tom.
14802;Ese libro es pequeño.;That book is small.
14803;Este es un pequeño libro.;This is a small book.
14804;Tom es muy interesante.;Tom is very interesting.
14805;Este libro es pequeño.;This book is small.
14806;El trabajo de mi padre es interesante.;My father's job is interesting.
14807;Él no puede venir porque está enfermo.;Because he's sick, he can't come.
14808;Estoy un poco enfermo.;I'm a little sick.
14809;Él es mi hermano pequeño.;He's my younger brother.
14810;De hecho, está enfermo.;In fact, he is sick.
14811;Tom lo hizo con mucho cuidado.;Tom did it very carefully.
14812;Él no pudo venir porque está enfermo.;He couldn't come because he was sick.
14813;Él estaba enfermo, así que no pudo venir.;He was sick, so he couldn't come.
14814;Soy muy pequeño.;I'm very short.
14815;Ayer estaba enfermo.;I was ill yesterday.
14816;¿No crees que deberías tener un poco más de cuidado?;Don't you think you should be a little more careful?
14817;La historia de él es mucho más interesante que la de ella.;His story is much more interesting than hers.
14818;Creo que ese libro no es tan interesante.;I think that that book is not so interesting.
14819;Yo pienso que una película es más interesante que cualquier libro.;I think a movie is more entertaining than any book.
14820;¿Qué te ha hecho enfermo?;What made you sick?
14821;Tengo un hijo que está enfermo.;I have a son who's sick.
14822;¡Qué libro más interesante!;What an interesting book this is!
14823;Debe hacerlo más con cuidado.;It must be done more carefully.
14824;¿El libro era interesante?;Was the book interesting?
14825;Él no viene al trabajo porque está enfermo.;He doesn't come to work because he's ill.
14826;Cuidado con el perro.;Beware of dog.
14827;Tom no se ve muy bien. ¿Está enfermo?;Tom doesn't look very well. Is he sick?
14828;Él es mi amigo más interesante.;He's my most interesting friend.
14829;Esto es más pequeño que eso.;This is smaller than that.
14830;Era bastante interesante.;It was pretty cool.
14831;Era demasiado pequeño.;It was too small.
14832;Yo era demasiado pequeño.;I was too small.
14833;Yo era muy pequeño.;I was too small.
14834;El mundo es pequeño.;It's a small world.
14835;Ella hizo el trabajo con cuidado.;She did the work carefully.
14836;Encontré muy interesante el trabajo.;I found the work very interesting.
14837;Lleva enfermo una semana.;He has been sick for a week.
14838;Tomás tiene que aprender a tener más cuidado.;Tom has to learn to be more careful.
14839;Hay un pequeño problema.;There's one small problem.
14840;¿Quién te dijo que estaba enfermo?;Who told you that I was sick?
14841;Tengo un pequeño problema.;I have a bit of a problem.
14842;¿No es un poco pequeño?;Isn't it a bit small?
14843;¿Fue interesante?;Was it interesting?
14844;¿Era interesante?;Was it interesting?
14845;Ya estoy enfermo.;I'm already sick.
14846;No puedo fumar. Estoy enfermo.;I cannot smoke. I am sick.
14847;He estado mucho tiempo enfermo.;I've been sick for a very long time.
14848;No pudo venir porque estaba enfermo.;He couldn't come because he was sick.
14849;No está aquí porque está enfermo.;He isn't here because he's ill.
14850;La historia era muy interesante.;The story was very interesting.
14851;¿Tom te dijo algo interesante?;Did Tom tell you anything interesting?
14852;Tomás es más interesante que María.;Tom is more interesting than Mary.
